id_anneau,id_secteur,pk,z_tn,z_base_tunnel,z_voute_tunnel
184,1,274.5,50.32,16.81,25.81
185,1,276.0,50.33,16.81,25.81
186,1,277.5,50.33,16.82,25.82
187,1,279.0,50.34,16.83,25.83
188,1,280.5,50.34,16.84,25.84
189,1,282.0,50.35,16.85,25.85
190,1,283.5,50.36,16.85,25.85
191,1,285.0,50.37,16.86,25.86
192,1,286.5,50.37,16.88,25.88
193,1,288.0,50.38,16.89,25.89
194,1,289.5,50.39,16.9,25.9
195,1,291.0,50.4,16.91,25.91
196,1,292.5,50.41,16.92,25.92
197,1,294.0,50.42,16.94,25.94
198,1,295.5,50.43,16.95,25.95
199,1,297.0,50.44,16.96,25.96
200,1,298.5,50.45,16.98,25.98
201,1,300.0,50.46,16.99,25.99
202,1,301.5,50.48,17.01,26.01
203,1,303.0,50.49,17.02,26.02
204,1,304.5,50.5,17.04,26.04
205,1,306.0,50.52,17.06,26.06
206,1,307.5,50.53,17.07,26.07
207,1,309.0,50.54,17.09,26.09
208,1,310.5,50.56,17.11,26.11
209,1,312.0,50.57,17.13,26.13
210,1,313.5,50.59,17.15,26.15
211,1,315.0,50.6,17.17,26.17
212,1,316.5,50.62,17.18,26.18
213,1,318.0,50.64,17.2,26.2
214,1,319.5,50.65,17.22,26.22
215,1,321.0,50.67,17.24,26.24
216,1,322.5,50.69,17.26,26.26
217,1,324.0,50.7,17.29,26.29
218,1,325.5,50.72,17.31,26.31
219,1,327.0,50.74,17.33,26.33
220,1,328.5,50.76,17.35,26.35
221,1,330.0,50.78,17.37,26.37
222,1,331.5,50.79,17.39,26.39
223,1,333.0,50.81,17.41,26.41
224,1,334.5,50.83,17.44,26.44
225,1,336.0,50.85,17.46,26.46
226,1,337.5,50.87,17.48,26.48
227,1,339.0,50.89,17.5,26.5
228,1,340.5,50.91,17.52,26.52
229,1,342.0,50.93,17.55,26.55
230,1,343.5,50.95,17.57,26.57
231,1,345.0,50.97,17.59,26.59
232,1,346.5,50.99,17.61,26.61
233,1,348.0,51.01,17.64,26.64
234,1,349.5,51.03,17.66,26.66
235,1,351.0,51.05,17.68,26.68
236,1,352.5,51.08,17.7,26.7
237,1,354.0,51.1,17.73,26.73
238,1,355.5,51.12,17.75,26.75
239,1,357.0,51.14,17.77,26.77
240,1,358.5,51.16,17.79,26.79
241,1,360.0,51.18,17.81,26.81
242,1,361.5,51.2,17.84,26.84
243,1,363.0,51.22,17.86,26.86
244,1,364.5,51.24,17.88,26.88
245,1,366.0,51.27,17.9,26.9
246,1,367.5,51.29,17.92,26.92
247,1,369.0,51.31,17.94,26.94
248,1,370.5,51.33,17.96,26.96
249,1,372.0,51.35,17.98,26.98
250,1,373.5,51.37,18.0,27.0
251,1,375.0,51.39,18.02,27.02
252,1,376.5,51.41,18.04,27.04
253,1,378.0,51.43,18.06,27.06
254,1,379.5,51.46,18.08,27.08
255,1,381.0,51.48,18.1,27.1
256,1,382.5,51.5,18.11,27.11
257,1,384.0,51.52,18.13,27.13
258,1,385.5,51.54,18.15,27.15
259,1,387.0,51.56,18.17,27.17
260,1,388.5,51.58,18.18,27.18
261,1,390.0,51.6,18.2,27.2
262,1,391.5,51.62,18.21,27.21
263,1,393.0,51.64,18.23,27.23
264,1,394.5,51.66,18.24,27.24
265,1,396.0,51.67,18.26,27.26
266,1,397.5,51.69,18.27,27.27
267,1,399.0,51.71,18.28,27.28
268,1,400.5,51.73,18.3,27.3
269,1,402.0,51.75,18.31,27.31
270,1,403.5,51.77,18.32,27.32
271,1,405.0,51.78,18.33,27.33
272,1,406.5,51.8,18.34,27.34
273,1,408.0,51.82,18.35,27.35
274,1,409.5,51.83,18.36,27.36
275,1,411.0,51.85,18.37,27.37
276,1,412.5,51.87,18.38,27.38
277,1,414.0,51.88,18.39,27.39
278,1,415.5,51.9,18.39,27.39
279,1,417.0,51.91,18.4,27.4
280,1,418.5,51.93,18.41,27.41
281,1,420.0,51.94,18.41,27.41
282,1,421.5,51.95,18.42,27.42
283,1,423.0,51.97,18.42,27.42
284,1,424.5,51.98,18.42,27.42
285,1,426.0,51.99,18.43,27.43
286,1,427.5,52.0,18.43,27.43
287,1,429.0,52.02,18.43,27.43
288,1,430.5,52.03,18.43,27.43
289,1,432.0,52.04,18.43,27.43
290,1,433.5,52.05,18.43,27.43
291,1,435.0,52.06,18.43,27.43
292,1,436.5,52.07,18.43,27.43
293,1,438.0,52.08,18.42,27.42
294,1,439.5,52.09,18.42,27.42
295,1,441.0,52.09,18.42,27.42
296,1,442.5,52.1,18.41,27.41
297,1,444.0,52.11,18.41,27.41
298,1,445.5,52.12,18.4,27.4
299,1,447.0,52.12,18.39,27.39
300,1,448.5,52.13,18.39,27.39
301,1,450.0,52.13,18.38,27.38
302,1,451.5,52.14,18.37,27.37
303,1,453.0,52.14,18.36,27.36
304,1,454.5,52.14,18.35,27.35
305,1,456.0,52.15,18.34,27.34
306,1,457.5,52.15,18.32,27.32
307,1,459.0,52.15,18.31,27.31
308,1,460.5,52.15,18.3,27.3
309,1,462.0,52.15,18.28,27.28
310,1,463.5,52.15,18.27,27.27
311,1,465.0,52.15,18.25,27.25
312,1,466.5,52.15,18.24,27.24
313,1,468.0,52.15,18.22,27.22
314,1,469.5,52.15,18.2,27.2
315,1,471.0,52.15,18.19,27.19
316,1,472.5,52.15,18.17,27.17
317,1,474.0,52.14,18.15,27.15
318,1,475.5,52.14,18.13,27.13
319,1,477.0,52.13,18.1,27.1
320,1,478.5,52.13,18.08,27.08
321,1,480.0,52.12,18.06,27.06
322,1,481.5,52.12,18.04,27.04
323,1,483.0,52.11,18.01,27.01
324,1,484.5,52.1,17.99,26.99
325,1,486.0,52.09,17.96,26.96
326,1,487.5,52.08,17.94,26.94
327,1,489.0,52.08,17.91,26.91
328,1,490.5,52.07,17.88,26.88
329,1,492.0,52.06,17.86,26.86
330,1,493.5,52.04,17.83,26.83
331,1,495.0,52.03,17.8,26.8
332,1,496.5,52.02,17.77,26.77
333,1,498.0,52.01,17.74,26.74
334,1,499.5,52.0,17.71,26.71
335,1,501.0,51.98,17.68,26.68
336,1,502.5,51.97,17.65,26.65
337,1,504.0,51.95,17.62,26.62
338,1,505.5,51.94,17.58,26.58
339,1,507.0,51.92,17.55,26.55
340,1,508.5,51.91,17.52,26.52
341,1,510.0,51.89,17.48,26.48
342,1,511.5,51.87,17.45,26.45
343,1,513.0,51.85,17.41,26.41
344,1,514.5,51.83,17.38,26.38
345,1,516.0,51.82,17.34,26.34
346,1,517.5,51.8,17.3,26.3
347,1,519.0,51.78,17.27,26.27
348,1,520.5,51.76,17.23,26.23
349,1,522.0,51.73,17.19,26.19
350,1,523.5,51.71,17.15,26.15
351,1,525.0,51.69,17.11,26.11
352,1,526.5,51.67,17.07,26.07
353,1,528.0,51.65,17.03,26.03
354,1,529.5,51.62,16.99,25.99
355,1,531.0,51.6,16.95,25.95
356,1,532.5,51.57,16.91,25.91
357,1,534.0,51.55,16.87,25.87
358,1,535.5,51.52,16.83,25.83
359,1,537.0,51.5,16.79,25.79
360,1,538.5,51.47,16.75,25.75
361,1,540.0,51.45,16.71,25.71
362,1,541.5,51.42,16.67,25.67
363,1,543.0,51.39,16.62,25.62
364,1,544.5,51.37,16.58,25.58
365,1,546.0,51.34,16.54,25.54
366,1,547.5,51.31,16.5,25.5
367,1,549.0,51.28,16.45,25.45
368,1,550.5,51.25,16.41,25.41
369,1,552.0,51.22,16.37,25.37
370,1,553.5,51.19,16.32,25.32
371,1,555.0,51.16,16.28,25.28
372,1,556.5,51.13,16.24,25.24
373,1,558.0,51.1,16.19,25.19
374,1,559.5,51.07,16.15,25.15
375,1,561.0,51.04,16.11,25.11
376,1,562.5,51.01,16.06,25.06
377,1,564.0,50.97,16.02,25.02
378,1,565.5,50.94,15.98,24.98
379,1,567.0,50.91,15.93,24.93
380,1,568.5,50.88,15.89,24.89
381,1,570.0,50.84,15.85,24.85
382,1,571.5,50.81,15.81,24.81
383,1,573.0,50.78,15.76,24.76
384,1,574.5,50.75,15.72,24.72
385,1,576.0,50.71,15.68,24.68
386,1,577.5,50.68,15.64,24.64
387,1,579.0,50.64,15.59,24.59
388,1,580.5,50.61,15.55,24.55
389,1,582.0,50.58,15.51,24.51
390,1,583.5,50.54,15.47,24.47
391,1,585.0,50.51,15.43,24.43
392,1,586.5,50.47,15.39,24.39
393,1,588.0,50.44,15.34,24.34
394,1,589.5,50.4,15.3,24.3
395,1,591.0,50.37,15.26,24.26
396,1,592.5,50.33,15.22,24.22
397,1,594.0,50.3,15.18,24.18
398,1,595.5,50.26,15.15,24.15
399,1,597.0,50.23,15.11,24.11
400,1,598.5,50.19,15.07,24.07
401,1,600.0,50.16,15.03,24.03
402,1,601.5,50.12,14.99,23.99
403,1,603.0,50.09,14.96,23.96
404,1,604.5,50.05,14.92,23.92
405,1,606.0,50.01,14.88,23.88
406,1,607.5,49.98,14.85,23.85
407,1,609.0,49.94,14.81,23.81
408,1,610.5,49.91,14.78,23.78
409,1,612.0,49.87,14.74,23.74
410,1,613.5,49.84,14.71,23.71
411,1,615.0,49.8,14.68,23.68
412,1,616.5,49.77,14.64,23.64
413,1,618.0,49.74,14.61,23.61
414,1,619.5,49.7,14.58,23.58
415,1,621.0,49.67,14.55,23.55
416,1,622.5,49.63,14.52,23.52
417,1,624.0,49.6,14.49,23.49
418,1,625.5,49.57,14.46,23.46
419,1,627.0,49.53,14.43,23.43
420,1,628.5,49.5,14.41,23.41
421,1,630.0,49.46,14.38,23.38
422,1,631.5,49.43,14.35,23.35
423,1,633.0,49.4,14.33,23.33
424,1,634.5,49.37,14.3,23.3
425,1,636.0,49.33,14.28,23.28
426,1,637.5,49.3,14.25,23.25
427,1,639.0,49.27,14.23,23.23
428,1,640.5,49.24,14.21,23.21
429,1,642.0,49.21,14.19,23.19
430,1,643.5,49.18,14.17,23.17
431,1,645.0,49.15,14.15,23.15
432,1,646.5,49.12,14.13,23.13
433,1,648.0,49.09,14.11,23.11
434,1,649.5,49.06,14.1,23.1
435,1,651.0,49.03,14.08,23.08
436,1,652.5,49.0,14.06,23.06
437,1,654.0,48.97,14.05,23.05
438,1,655.5,48.94,14.03,23.03
439,1,657.0,48.91,14.02,23.02
440,1,658.5,48.88,14.01,23.01
441,1,660.0,48.86,14.0,23.0
442,1,661.5,48.83,13.99,22.99
443,1,663.0,48.8,13.98,22.98
444,1,664.5,48.78,13.97,22.97
445,1,666.0,48.75,13.96,22.96
446,1,667.5,48.73,13.95,22.95
447,1,669.0,48.7,13.95,22.95
448,1,670.5,48.68,13.94,22.94
449,1,672.0,48.65,13.94,22.94
450,1,673.5,48.63,13.93,22.93
451,1,675.0,48.61,13.93,22.93
452,1,676.5,48.58,13.93,22.93
453,1,678.0,48.56,13.93,22.93
454,1,679.5,48.54,13.93,22.93
455,1,681.0,48.52,13.93,22.93
456,1,682.5,48.5,13.93,22.93
457,1,684.0,48.48,13.93,22.93
458,1,685.5,48.46,13.93,22.93
459,1,687.0,48.44,13.94,22.94
460,1,688.5,48.42,13.94,22.94
461,1,690.0,48.4,13.95,22.95
462,1,691.5,48.38,13.95,22.95
463,1,693.0,48.37,13.96,22.96
464,1,694.5,48.35,13.97,22.97
465,1,696.0,48.33,13.98,22.98
466,1,697.5,48.32,13.99,22.99
467,1,699.0,48.3,14.0,23.0
468,1,700.5,48.29,14.01,23.01
469,1,702.0,48.27,14.02,23.02
470,1,703.5,48.26,14.04,23.04
471,1,705.0,48.24,14.05,23.05
472,1,706.5,48.23,14.07,23.07
473,1,708.0,48.22,14.08,23.08
474,1,709.5,48.21,14.1,23.1
475,1,711.0,48.2,14.12,23.12
476,1,712.5,48.19,14.14,23.14
477,1,714.0,48.18,14.16,23.16
478,1,715.5,48.17,14.18,23.18
479,1,717.0,48.16,14.2,23.2
480,1,718.5,48.15,14.22,23.22
481,1,720.0,48.14,14.24,23.24
482,1,721.5,48.13,14.26,23.26
483,1,723.0,48.12,14.29,23.29
484,1,724.5,48.12,14.31,23.31
485,1,726.0,48.11,14.34,23.34
486,1,727.5,48.11,14.37,23.37
487,1,729.0,48.1,14.39,23.39
488,1,730.5,48.1,14.42,23.42
489,1,732.0,48.09,14.45,23.45
490,1,733.5,48.09,14.48,23.48
491,1,735.0,48.09,14.51,23.51
492,1,736.5,48.08,14.54,23.54
493,1,738.0,48.08,14.57,23.57
494,1,739.5,48.08,14.6,23.6
495,1,741.0,48.08,14.63,23.63
496,1,742.5,48.08,14.67,23.67
497,1,744.0,48.08,14.7,23.7
498,1,745.5,48.08,14.73,23.73
499,1,747.0,48.08,14.77,23.77
500,1,748.5,48.08,14.8,23.8
501,1,750.0,48.08,14.84,23.84
502,1,751.5,48.08,14.88,23.88
503,1,753.0,48.09,14.91,23.91
504,1,754.5,48.09,14.95,23.95
505,1,756.0,48.09,14.99,23.99
506,1,757.5,48.1,15.03,24.03
507,1,759.0,48.1,15.07,24.07
508,1,760.5,48.11,15.11,24.11
509,1,762.0,48.11,15.15,24.15
510,1,763.5,48.12,15.19,24.19
511,1,765.0,48.12,15.23,24.23
512,1,766.5,48.13,15.27,24.27
513,1,768.0,48.14,15.31,24.31
514,1,769.5,48.14,15.35,24.35
515,1,771.0,48.15,15.39,24.39
516,1,772.5,48.16,15.44,24.44
517,1,774.0,48.17,15.48,24.48
518,1,775.5,48.17,15.52,24.52
519,1,777.0,48.18,15.57,24.57
520,1,778.5,48.19,15.61,24.61
521,1,780.0,48.2,15.65,24.65
522,1,781.5,48.21,15.7,24.7
523,1,783.0,48.22,15.74,24.74
524,1,784.5,48.23,15.79,24.79
525,1,786.0,48.24,15.83,24.83
526,1,787.5,48.26,15.88,24.88
527,1,789.0,48.27,15.92,24.92
528,1,790.5,48.28,15.97,24.97
529,1,792.0,48.29,16.02,25.02
530,1,793.5,48.3,16.06,25.06
531,1,795.0,48.31,16.11,25.11
532,1,796.5,48.33,16.15,25.15
533,1,798.0,48.34,16.2,25.2
534,1,799.5,48.35,16.25,25.25
535,1,801.0,48.37,16.29,25.29
536,1,802.5,48.38,16.34,25.34
537,1,804.0,48.39,16.38,25.38
538,1,805.5,48.41,16.43,25.43
539,1,807.0,48.42,16.48,25.48
540,1,808.5,48.44,16.52,25.52
541,1,810.0,48.45,16.57,25.57
542,1,811.5,48.46,16.62,25.62
543,1,813.0,48.48,16.66,25.66
544,1,814.5,48.49,16.71,25.71
545,1,816.0,48.51,16.75,25.75
546,1,817.5,48.52,16.8,25.8
547,1,819.0,48.54,16.85,25.85
548,1,820.5,48.55,16.89,25.89
549,1,822.0,48.57,16.94,25.94
550,1,823.5,48.58,16.98,25.98
551,1,825.0,48.6,17.03,26.03
552,1,826.5,48.61,17.07,26.07
553,1,828.0,48.63,17.11,26.11
554,1,829.5,48.65,17.16,26.16
555,1,831.0,48.66,17.2,26.2
556,1,832.5,48.68,17.25,26.25
557,1,834.0,48.69,17.29,26.29
558,1,835.5,48.71,17.33,26.33
559,1,837.0,48.72,17.38,26.38
560,1,838.5,48.74,17.42,26.42
561,1,840.0,48.75,17.46,26.46
562,1,841.5,48.77,17.5,26.5
563,1,843.0,48.78,17.54,26.54
564,1,844.5,48.8,17.58,26.58
565,1,846.0,48.81,17.62,26.62
566,1,847.5,48.83,17.66,26.66
567,1,849.0,48.84,17.7,26.7
568,1,850.5,48.86,17.74,26.74
569,1,852.0,48.87,17.78,26.78
570,1,853.5,48.89,17.82,26.82
571,1,855.0,48.9,17.86,26.86
572,1,856.5,48.91,17.9,26.9
573,1,858.0,48.93,17.93,26.93
574,1,859.5,48.94,17.97,26.97
575,1,861.0,48.95,18.01,27.01
576,1,862.5,48.97,18.04,27.04
577,1,864.0,48.98,18.08,27.08
578,1,865.5,48.99,18.11,27.11
579,1,867.0,49.01,18.14,27.14
580,1,868.5,49.02,18.18,27.18
581,1,870.0,49.03,18.21,27.21
582,1,871.5,49.04,18.24,27.24
583,1,873.0,49.06,18.27,27.27
584,1,874.5,49.07,18.31,27.31
585,1,876.0,49.08,18.34,27.34
586,1,877.5,49.09,18.37,27.37
587,1,879.0,49.1,18.39,27.39
588,1,880.5,49.11,18.42,27.42
589,1,882.0,49.12,18.45,27.45
590,1,883.5,49.13,18.48,27.48
591,1,885.0,49.14,18.51,27.51
592,1,886.5,49.15,18.53,27.53
593,1,888.0,49.16,18.56,27.56
594,1,889.5,49.17,18.58,27.58
595,1,891.0,49.18,18.61,27.61
596,1,892.5,49.19,18.63,27.63
597,1,894.0,49.19,18.65,27.65
598,1,895.5,49.2,18.67,27.67
599,1,897.0,49.21,18.7,27.7
600,1,898.5,49.22,18.72,27.72
601,1,900.0,49.22,18.74,27.74
602,1,901.5,49.23,18.76,27.76
603,1,903.0,49.23,18.78,27.78
604,1,904.5,49.24,18.79,27.79
605,1,906.0,49.25,18.81,27.81
606,1,907.5,49.25,18.83,27.83
607,1,909.0,49.25,18.85,27.85
608,1,910.5,49.26,18.86,27.86
609,1,912.0,49.26,18.88,27.88
610,1,913.5,49.27,18.89,27.89
611,1,915.0,49.27,18.9,27.9
612,1,916.5,49.27,18.92,27.92
613,1,918.0,49.27,18.93,27.93
614,1,919.5,49.27,18.94,27.94
615,1,921.0,49.28,18.95,27.95
616,1,922.5,49.28,18.96,27.96
617,1,924.0,49.28,18.97,27.97
618,1,925.5,49.28,18.98,27.98
619,1,927.0,49.28,18.99,27.99
620,1,928.5,49.28,19.0,28.0
621,1,930.0,49.28,19.0,28.0
622,1,931.5,49.28,19.01,28.01
623,1,933.0,49.27,19.02,28.02
624,1,934.5,49.27,19.02,28.02
625,1,936.0,49.27,19.03,28.03
626,1,937.5,49.27,19.03,28.03
627,1,939.0,49.26,19.03,28.03
628,1,940.5,49.26,19.04,28.04
629,1,942.0,49.26,19.04,28.04
630,1,943.5,49.25,19.04,28.04
631,1,945.0,49.25,19.04,28.04
632,1,946.5,49.24,19.04,28.04
633,1,948.0,49.24,19.04,28.04
634,1,949.5,49.23,19.04,28.04
635,1,951.0,49.22,19.04,28.04
636,1,952.5,49.22,19.04,28.04
637,1,954.0,49.21,19.04,28.04
638,1,955.5,49.2,19.04,28.04
639,1,957.0,49.19,19.03,28.03
640,1,958.5,49.19,19.03,28.03
641,1,960.0,49.18,19.03,28.03
642,1,961.5,49.17,19.02,28.02
643,1,963.0,49.16,19.02,28.02
644,1,964.5,49.15,19.01,28.01
645,1,966.0,49.14,19.0,28.0
646,1,967.5,49.13,19.0,28.0
647,1,969.0,49.12,18.99,27.99
648,1,970.5,49.11,18.99,27.99
649,1,972.0,49.1,18.98,27.98
650,1,973.5,49.09,18.97,27.97
651,1,975.0,49.08,18.96,27.96
652,1,976.5,49.06,18.95,27.95
653,1,978.0,49.05,18.95,27.95
654,1,979.5,49.04,18.94,27.94
655,1,981.0,49.03,18.93,27.93
656,1,982.5,49.01,18.92,27.92
657,1,984.0,49.0,18.91,27.91
658,1,985.5,48.99,18.9,27.9
659,1,987.0,48.97,18.89,27.89
660,1,988.5,48.96,18.88,27.88
661,1,990.0,48.95,18.86,27.86
662,1,991.5,48.93,18.85,27.85
663,1,993.0,48.92,18.84,27.84
664,1,994.5,48.9,18.83,27.83
665,1,996.0,48.89,18.82,27.82
666,1,997.5,48.87,18.81,27.81
667,1,999.0,48.86,18.8,27.8
668,1,1000.5,48.84,18.78,27.78
669,1,1002.0,48.83,18.77,27.77
670,1,1003.5,48.81,18.76,27.76
671,1,1005.0,48.79,18.75,27.75
672,1,1006.5,48.78,18.74,27.74
673,1,1008.0,48.76,18.72,27.72
674,1,1009.5,48.74,18.71,27.71
675,1,1011.0,48.73,18.7,27.7
676,1,1012.5,48.71,18.69,27.69
677,1,1014.0,48.69,18.67,27.67
678,1,1015.5,48.68,18.66,27.66
679,1,1017.0,48.66,18.65,27.65
680,1,1018.5,48.64,18.64,27.64
681,1,1020.0,48.63,18.62,27.62
682,1,1021.5,48.61,18.61,27.61
683,1,1023.0,48.59,18.6,27.6
684,1,1024.5,48.58,18.59,27.59
685,1,1026.0,48.56,18.58,27.58
686,1,1027.5,48.54,18.57,27.57
687,1,1029.0,48.53,18.56,27.56
688,1,1030.5,48.51,18.54,27.54
689,1,1032.0,48.49,18.53,27.53
690,1,1033.5,48.47,18.52,27.52
691,1,1035.0,48.46,18.51,27.51
692,1,1036.5,48.44,18.5,27.5
693,1,1038.0,48.42,18.49,27.49
694,1,1039.5,48.41,18.48,27.48
