id_calage_trans,id_anneau,smax,iy,my
148,816,-4.72,12.52,-1.65
149,818,-4.54,11.57,0.39
150,820,-4.84,12.13,0.5
151,822,-5.76,11.96,3.31
152,824,-4.97,10.0,-1.88
153,826,-5.39,10.91,-1.41
154,828,-5.05,10.26,2.71
155,830,-4.41,9.49,-0.5
156,832,-4.29,10.53,-0.62
157,834,-5.38,12.19,-3.83
158,836,-5.32,10.18,0.16
159,838,-5.07,10.11,0.67
160,840,-4.87,11.45,-0.46
161,842,-5.4,9.38,0.36
162,844,-5.3,10.02,-0.63
163,846,-4.91,10.4,0.34
164,848,-4.57,10.08,-2.77
165,850,-5.15,12.4,-2.96
166,852,-5.11,9.84,1.13
167,1065,-5.89,9.28,1.21
168,1067,-5.77,11.24,-0.64
169,1069,-6.14,12.09,0.49
170,1071,-6.24,12.45,-0.6
171,1073,-5.95,11.54,-0.22
172,1075,-6.17,10.41,-0.71
173,1077,-6.25,10.69,1.52
174,1079,-5.64,10.63,-0.43
175,1081,-6.42,10.02,0.09
176,1083,-7.41,10.09,-0.39
177,1085,-5.64,10.29,-0.5
178,1087,-6.53,10.8,0.53
179,1089,-6.48,11.85,1.14
180,1091,-6.14,9.99,-2.0
181,1093,-5.97,12.61,0.12
182,1095,-6.28,9.61,-2.59
183,1097,-6.7,11.0,-0.33
184,1513,-7.47,7.43,-0.23
185,1515,-7.44,6.94,-1.7
186,1517,-7.96,9.85,-0.86
187,1519,-8.52,8.2,-0.57
188,1521,-7.23,9.15,1.03
189,1523,-7.27,9.78,-0.78
190,1525,-7.13,9.47,-0.84
191,1527,-7.24,9.53,-2.95
192,1529,-6.97,9.1,-2.76
193,1531,-7.05,9.08,-0.11
194,1533,-7.33,10.86,-1.69
195,1535,-6.8,10.23,1.07
196,1537,-6.53,8.83,-0.41
197,1539,-6.09,8.46,-1.25
198,1541,-6.09,7.78,-1.59
199,1806,-2.06,10.76,0.67
200,1807,-1.83,11.18,-0.52
201,1808,-2.56,11.67,1.04
202,1809,-2.45,9.81,0.47
203,1810,-1.73,8.47,0.96
204,1811,-2.17,13.96,-3.28
205,1812,-1.73,9.55,2.22
206,1813,-2.03,11.36,0.44
207,1814,-2.13,11.6,0.96
208,1815,-2.64,11.06,-1.11
209,1816,-2.41,10.11,-0.27
210,1817,-2.42,10.34,2.57
211,1818,-2.3,11.89,0.29
212,1819,-2.23,11.34,-0.42
213,1820,-2.23,10.18,0.3
214,1821,-1.97,12.51,2.69
215,1822,-2.32,11.51,1.16
216,1823,-1.9,12.43,-1.26
217,1824,-2.26,12.52,-0.57
218,1825,-2.59,11.75,-1.52
219,1826,-2.21,11.27,1.5
220,1827,-1.98,11.77,1.39
221,1828,-2.06,11.91,0.87
222,1829,-1.96,10.06,-1.81
223,1830,-1.86,11.53,0.36
224,1831,-1.76,13.39,-1.13
225,1832,-2.31,10.91,0.06
226,1833,-2.01,12.04,-0.67
227,1834,-1.78,9.4,-1.52
228,1835,-1.77,10.6,0.74
229,1836,-2.06,11.71,2.74
230,1837,-2.55,11.08,-1.82
231,1838,-1.83,9.8,0.65
232,1839,-2.14,11.39,-0.04
233,1840,-2.92,10.36,-2.52
234,1841,-3.12,11.18,0.85
235,1842,-1.52,11.49,1.75
236,1843,-1.74,11.07,-1.89
237,1844,-1.62,11.96,0.22
238,1845,-2.41,13.0,-3.52
239,1846,-2.11,11.36,1.58
240,1847,-1.87,12.48,0.07
241,1848,-2.21,12.69,2.88
242,1849,-1.85,10.71,-0.56
243,1850,-1.86,12.37,2.5
244,1851,-2.2,10.8,-1.42
245,1852,-2.13,11.43,-0.29
246,1853,-2.11,11.88,2.52
247,1854,-1.48,10.85,0.13
248,1855,-1.59,11.45,-2.2
249,1856,-2.04,10.91,-2.08
250,1857,-1.54,12.63,1.64
251,1858,-2.29,10.58,2.42
252,1859,-1.74,11.25,2.5
253,1860,-1.93,14.32,-0.43
254,1861,-2.0,10.73,0.42
255,1862,-2.55,12.13,-0.42
256,1863,-1.72,11.3,-0.78
257,1864,-2.18,12.86,-0.61
258,1865,-2.0,11.22,-1.7
259,1866,-1.54,11.79,-0.93
260,1867,-1.61,12.59,-2.48
261,1868,-1.66,13.09,0.96
262,2092,-2.76,12.06,0.35
263,2093,-1.62,9.71,-0.76
264,2094,-2.12,10.35,1.75
265,2095,-2.15,11.84,-1.59
266,2096,-1.44,12.41,0.17
267,2097,-2.36,12.17,-0.42
268,2098,-1.83,12.29,0.72
269,2099,-2.55,10.37,0.2
270,2100,-2.28,9.74,-1.11
271,2101,-1.29,10.95,3.14
272,2102,-1.91,10.83,-2.38
273,2103,-1.81,10.72,-2.63
274,2104,-1.34,10.5,-0.75
275,2105,-1.41,10.9,1.22
276,2106,-1.66,11.19,0.14
277,2107,-2.45,11.01,0.55
278,2108,-1.86,11.21,-1.21
279,2109,-1.73,10.67,-0.03
280,2110,-2.98,10.82,0.12
281,2111,-1.85,11.31,-2.2
282,2112,-1.7,12.49,-2.1
283,2113,-1.76,11.91,0.77
284,2114,-2.22,10.47,-1.83
285,2115,-2.42,11.7,0.1
286,2116,-1.7,12.23,2.43
287,2117,-2.37,13.02,-3.14
288,2118,-2.31,12.08,1.25
289,2119,-2.26,12.22,0.02
290,2120,-2.28,11.24,-0.83
291,2121,-1.57,12.22,-0.82
292,2122,-2.48,10.36,0.14
293,2123,-1.61,11.42,0.08
294,2124,-1.61,12.9,-0.44
295,2125,-1.79,11.61,0.7
296,2126,-2.02,12.22,-1.58
297,2127,-2.52,11.51,-0.15
298,2128,-1.77,11.31,-1.17
299,2129,-2.08,11.27,-1.65
300,2130,-2.11,11.0,0.23
301,2131,-2.38,13.43,1.62
302,2132,-1.74,11.4,-2.16
303,2133,-1.52,9.74,-1.07
304,2134,-2.05,9.66,-2.05
305,2238,-1.05,13.59,0.97
306,2240,-1.65,11.18,0.25
307,2242,-0.83,12.54,-0.57
308,2244,-1.0,14.26,-0.27
309,2246,-1.77,9.2,-2.31
310,2248,-0.94,11.72,1.14
311,2250,-1.39,11.89,-2.03
312,2252,-0.52,11.71,-3.23
313,2254,-1.57,11.1,0.64
314,2256,-1.3,12.64,-2.19
315,2258,-1.33,12.26,1.7
316,2260,-1.12,12.15,1.66
317,2262,-1.16,12.34,0.05
318,2264,-0.9,11.24,-0.99
319,2266,-0.66,12.82,-1.87
320,2268,-1.12,11.6,-0.1
321,2270,-1.03,13.01,-0.07
322,2272,-1.08,12.1,-1.96
323,2274,-1.75,12.63,0.62
324,2276,-1.62,13.21,1.17
325,2278,-1.12,12.74,-1.76
326,2280,-1.68,12.3,0.35
327,2282,-0.95,11.75,-2.02
328,2284,-1.51,12.95,0.83
329,2286,-1.74,11.56,2.0
330,2288,-1.62,11.74,0.67
331,2290,-1.75,11.89,1.18
332,2292,-1.81,10.85,-1.86
333,2793,-4.69,13.15,1.22
334,2794,-4.6,12.94,0.55
335,2795,-5.25,13.66,-2.03
336,2796,-4.61,13.23,0.6
337,2797,-5.15,14.02,-0.25
338,2798,-4.76,13.36,-1.37
339,2799,-5.45,12.06,-0.29
340,2800,-4.72,13.17,-1.19
341,2801,-4.79,12.84,-1.06
342,2802,-5.08,12.96,1.81
343,2803,-4.44,13.89,-0.58
344,2804,-4.68,13.21,-0.16
345,2805,-4.7,12.53,0.9
346,2806,-4.41,12.33,-1.18
347,2807,-4.61,11.22,0.57
348,2808,-5.28,13.26,1.62
349,2809,-4.26,14.45,-0.4
350,2810,-4.07,13.66,-0.8
351,2811,-4.41,12.48,1.71
352,2812,-4.82,14.18,1.43
353,2813,-4.37,13.9,1.03
354,2814,-4.8,14.65,-1.63
355,2815,-4.51,13.7,2.66
356,2816,-4.63,11.26,-2.39
357,2817,-4.75,14.51,1.91
358,2818,-4.4,11.62,1.93
359,2819,-4.68,13.44,0.04
360,2820,-4.57,14.14,1.68
361,2821,-4.24,12.27,-2.08
362,2822,-4.77,14.03,1.86
363,2823,-4.78,11.69,0.12
364,2824,-4.22,13.63,-0.01
365,2825,-4.0,13.74,-0.55
366,2826,-5.0,13.92,-1.88
367,2827,-4.55,12.69,-0.23
368,2828,-4.99,12.06,1.12
369,2829,-4.59,13.27,-1.01
370,2830,-4.44,15.64,1.71
371,2831,-4.35,11.5,-0.61
372,2832,-4.93,9.82,0.56
373,2833,-5.25,14.8,-0.89
374,2845,-3.64,12.33,1.35
375,2846,-3.07,13.92,2.49
376,2847,-2.98,12.65,0.19
377,2848,-3.92,12.66,2.29
378,2849,-3.74,13.27,0.93
379,2850,-3.63,12.91,1.67
380,2851,-3.24,12.9,0.51
381,2852,-3.44,11.64,3.08
382,2853,-3.47,13.09,-0.79
383,2854,-3.82,12.0,2.26
384,2855,-3.24,12.87,0.78
385,2856,-3.83,13.33,0.04
386,2857,-3.42,14.56,0.0
387,2858,-3.06,13.17,1.9
388,2859,-3.61,13.08,2.91
389,2860,-4.38,13.48,1.0
390,2861,-4.0,13.47,1.57
391,2862,-3.8,12.78,-0.8
392,2863,-3.66,12.8,-0.87
393,2864,-3.55,13.38,-0.36
394,2865,-3.37,11.97,1.13
395,2866,-3.79,13.6,0.78
396,2867,-3.59,13.12,1.01
397,2868,-3.75,14.98,1.45
398,2869,-3.59,13.08,-1.92
399,2870,-4.09,13.04,0.66
400,2871,-3.7,12.61,0.06
401,2872,-3.19,11.54,-2.51
402,2873,-3.49,11.27,1.67
403,2874,-3.66,12.65,-0.15
404,2875,-3.48,15.44,2.08
405,3298,-3.21,15.31,3.41
406,3300,-2.91,15.83,-1.15
407,3302,-2.94,15.15,-2.95
408,3304,-2.82,15.63,-0.27
409,3306,-3.04,16.07,-1.04
410,3308,-2.96,14.42,2.6
411,3310,-2.91,14.99,-2.44
412,3312,-2.72,15.28,0.42
413,3314,-2.85,15.48,2.02
414,3316,-2.91,14.98,-1.93
415,3318,-2.84,15.73,-1.04
416,3320,-2.44,13.88,-1.17
417,3322,-2.89,15.87,0.86
418,3324,-2.4,14.79,-0.57
419,3326,-2.44,16.36,0.75
420,3328,-2.58,14.55,2.42
421,3330,-2.29,15.61,0.03
422,3332,-2.42,15.81,-1.38
423,3334,-1.96,15.37,1.99
424,3336,-2.38,14.97,-2.52
