id_strati_homogene,id_anneau,gamma_h[kN/m3],E_M[MPa],alpha[],c'[kPa],phi'[°],K0[]
244,244,19.863,29.526,0.403,9.511,31.398,0.561
245,245,19.865,29.511,0.403,9.514,31.4,0.561
246,246,19.868,29.496,0.403,9.519,31.402,0.561
247,247,19.871,29.483,0.403,9.525,31.403,0.561
248,248,19.874,29.471,0.403,9.531,31.404,0.561
249,249,19.877,29.46,0.403,9.538,31.405,0.56
250,250,19.88,29.449,0.403,9.547,31.405,0.56
251,251,19.883,29.44,0.403,9.556,31.405,0.56
252,252,19.887,29.432,0.403,9.565,31.405,0.56
253,253,19.89,29.425,0.403,9.576,31.404,0.56
254,254,19.894,29.419,0.403,9.588,31.403,0.56
255,255,19.898,29.414,0.403,9.6,31.402,0.559
256,256,19.901,29.41,0.403,9.614,31.4,0.559
257,257,19.905,29.407,0.403,9.628,31.398,0.559
258,258,19.909,29.405,0.402,9.643,31.396,0.559
259,259,19.914,29.404,0.402,9.659,31.393,0.559
260,260,19.918,29.405,0.402,9.676,31.39,0.559
261,261,19.922,29.406,0.402,9.693,31.387,0.559
262,262,19.927,29.408,0.402,9.712,31.384,0.558
263,263,19.931,29.412,0.403,9.731,31.38,0.558
264,264,19.936,29.416,0.403,9.752,31.376,0.558
265,265,19.941,29.422,0.403,9.773,31.371,0.558
266,266,19.946,29.428,0.403,9.794,31.366,0.558
267,267,19.951,29.436,0.403,9.817,31.361,0.558
268,268,19.956,29.445,0.403,9.841,31.356,0.558
269,269,19.961,29.454,0.403,9.865,31.35,0.558
270,270,19.967,29.465,0.403,9.89,31.344,0.557
271,271,19.972,29.477,0.403,9.916,31.338,0.557
272,272,19.978,29.489,0.403,9.942,31.331,0.557
273,273,19.983,29.503,0.403,9.97,31.324,0.557
274,274,19.989,29.517,0.403,9.998,31.316,0.557
275,275,19.995,29.533,0.403,10.027,31.309,0.557
276,276,20.001,29.549,0.404,10.057,31.301,0.557
277,277,20.007,29.567,0.404,10.087,31.293,0.557
278,278,20.013,29.585,0.404,10.118,31.284,0.556
279,279,20.019,29.605,0.404,10.15,31.275,0.556
280,280,20.025,29.625,0.404,10.182,31.266,0.556
281,281,20.031,29.646,0.404,10.215,31.256,0.556
282,282,20.038,29.668,0.404,10.249,31.247,0.556
283,283,20.044,29.691,0.405,10.284,31.237,0.556
284,284,20.051,29.714,0.405,10.319,31.226,0.556
285,285,20.057,29.739,0.405,10.354,31.216,0.556
286,286,20.064,29.764,0.405,10.39,31.205,0.555
287,287,20.071,29.79,0.405,10.427,31.194,0.555
288,288,20.078,29.817,0.406,10.465,31.182,0.555
289,289,20.085,29.845,0.406,10.503,31.17,0.555
290,290,20.091,29.873,0.406,10.541,31.158,0.555
291,291,20.098,29.902,0.406,10.58,31.146,0.555
292,292,20.105,29.932,0.406,10.619,31.134,0.555
293,293,20.113,29.962,0.407,10.659,31.121,0.555
294,294,20.12,29.993,0.407,10.7,31.108,0.555
295,295,20.127,30.025,0.407,10.74,31.094,0.554
296,296,20.134,30.058,0.407,10.782,31.081,0.554
297,297,20.141,30.091,0.408,10.823,31.067,0.554
298,298,20.149,30.124,0.408,10.865,31.053,0.554
299,299,20.156,30.159,0.408,10.908,31.039,0.554
300,300,20.163,30.193,0.408,10.95,31.024,0.554
301,301,20.171,30.229,0.409,10.993,31.01,0.554
302,302,20.178,30.264,0.409,11.037,30.995,0.554
303,303,20.186,30.301,0.409,11.08,30.98,0.554
304,304,20.193,30.337,0.41,11.124,30.964,0.554
305,305,20.201,30.375,0.41,11.168,30.949,0.554
306,306,20.208,30.412,0.41,11.213,30.933,0.553
307,307,20.216,30.45,0.41,11.257,30.917,0.553
308,308,20.224,30.489,0.411,11.302,30.901,0.553
309,309,20.231,30.527,0.411,11.347,30.885,0.553
310,310,20.239,30.567,0.411,11.392,30.868,0.553
311,311,20.246,30.606,0.412,11.437,30.851,0.553
312,312,20.254,30.646,0.412,11.482,30.834,0.553
313,313,20.262,30.686,0.412,11.528,30.817,0.553
314,314,20.269,30.726,0.413,11.573,30.8,0.553
315,315,20.277,30.767,0.413,11.618,30.783,0.553
316,316,20.285,30.807,0.413,11.664,30.765,0.553
317,317,20.292,30.848,0.414,11.71,30.748,0.552
318,318,20.3,30.89,0.414,11.755,30.73,0.552
319,319,20.31,31.141,0.414,11.851,30.731,0.552
320,320,20.323,31.607,0.415,11.999,30.752,0.551
321,321,20.336,32.071,0.415,12.147,30.773,0.551
322,322,20.349,32.533,0.415,12.294,30.793,0.55
323,323,20.362,32.992,0.416,12.44,30.813,0.549
324,324,20.375,33.448,0.416,12.586,30.833,0.549
325,325,20.387,33.901,0.417,12.731,30.852,0.548
326,326,20.4,34.352,0.417,12.875,30.871,0.548
327,327,20.413,34.799,0.417,13.018,30.889,0.547
328,328,20.425,35.242,0.418,13.16,30.907,0.546
329,329,20.437,35.682,0.418,13.301,30.925,0.546
330,330,20.45,36.118,0.418,13.442,30.942,0.545
331,331,20.462,36.551,0.419,13.581,30.958,0.545
332,332,20.474,36.979,0.419,13.719,30.975,0.544
333,333,20.486,37.403,0.419,13.855,30.99,0.543
334,334,20.498,37.823,0.42,13.991,31.005,0.543
335,335,20.51,38.239,0.42,14.125,31.02,0.542
336,336,20.522,38.649,0.421,14.258,31.034,0.542
337,337,20.533,39.056,0.421,14.39,31.048,0.541
338,338,20.545,39.457,0.421,14.52,31.061,0.541
339,339,20.556,39.853,0.422,14.648,31.074,0.54
340,340,20.568,40.244,0.422,14.775,31.086,0.54
341,341,20.579,40.631,0.422,14.901,31.098,0.539
342,342,20.59,41.011,0.423,15.025,31.109,0.539
343,343,20.6,41.387,0.423,15.147,31.12,0.538
344,344,20.611,41.757,0.424,15.268,31.13,0.538
345,345,20.622,42.121,0.424,15.387,31.139,0.537
346,346,20.632,42.479,0.424,15.504,31.148,0.537
347,347,20.642,42.832,0.425,15.619,31.157,0.536
348,348,20.652,43.179,0.425,15.733,31.165,0.536
349,349,20.662,43.519,0.425,15.844,31.172,0.535
350,350,20.672,43.854,0.426,15.954,31.179,0.535
351,351,20.682,44.182,0.426,16.062,31.185,0.534
352,352,20.691,44.505,0.426,16.168,31.191,0.534
353,353,20.7,44.82,0.427,16.272,31.196,0.533
354,354,20.709,45.13,0.427,16.373,31.201,0.533
355,355,20.718,45.433,0.427,16.473,31.205,0.533
356,356,20.727,45.729,0.428,16.571,31.208,0.532
357,357,20.731,45.747,0.43,16.593,31.158,0.533
358,358,20.729,45.476,0.433,16.536,31.051,0.534
359,359,20.728,45.208,0.436,16.479,30.946,0.535
360,360,20.727,44.943,0.439,16.423,30.842,0.536
361,361,20.725,44.681,0.442,16.368,30.74,0.537
362,362,20.724,44.422,0.445,16.313,30.639,0.538
363,363,20.722,44.166,0.448,16.258,30.539,0.539
364,364,20.721,43.914,0.451,16.204,30.442,0.541
365,365,20.719,43.664,0.454,16.151,30.345,0.542
366,366,20.718,43.418,0.457,16.098,30.251,0.543
367,367,20.716,43.174,0.46,16.045,30.157,0.544
368,368,20.714,42.934,0.462,15.994,30.066,0.545
369,369,20.713,42.697,0.465,15.942,29.976,0.546
370,370,20.711,42.464,0.468,15.892,29.888,0.547
371,371,20.709,42.234,0.47,15.842,29.801,0.548
372,372,20.708,42.007,0.473,15.792,29.716,0.548
373,373,20.706,41.783,0.475,15.743,29.633,0.549
374,374,20.704,41.563,0.477,15.695,29.551,0.55
375,375,20.702,41.347,0.48,15.647,29.471,0.551
376,376,20.7,41.133,0.482,15.6,29.392,0.552
377,377,20.698,40.923,0.484,15.554,29.316,0.553
378,378,20.696,40.717,0.486,15.508,29.241,0.553
379,379,20.695,40.514,0.488,15.463,29.167,0.554
380,380,20.692,40.315,0.49,15.419,29.096,0.555
381,381,20.69,40.119,0.492,15.375,29.026,0.556
382,382,20.688,39.926,0.494,15.332,28.958,0.556
383,383,20.686,39.737,0.496,15.289,28.891,0.557
384,384,20.684,39.552,0.498,15.248,28.827,0.558
385,385,20.682,39.37,0.499,15.207,28.764,0.558
386,386,20.68,39.192,0.501,15.166,28.703,0.559
387,387,20.677,39.017,0.502,15.127,28.643,0.559
388,388,20.675,38.846,0.504,15.088,28.585,0.56
389,389,20.673,38.679,0.505,15.049,28.53,0.56
390,390,20.67,38.515,0.507,15.012,28.475,0.561
391,391,20.668,38.354,0.508,14.975,28.423,0.561
392,392,20.665,38.198,0.509,14.939,28.372,0.562
393,393,20.663,38.045,0.51,14.904,28.323,0.562
394,394,20.66,37.895,0.511,14.869,28.276,0.563
395,395,20.658,37.749,0.512,14.835,28.231,0.563
396,396,20.655,37.607,0.513,14.802,28.187,0.563
397,397,20.653,37.468,0.514,14.769,28.146,0.564
398,398,20.65,37.333,0.515,14.738,28.106,0.564
399,399,20.647,37.201,0.516,14.707,28.067,0.564
400,400,20.645,37.074,0.516,14.677,28.031,0.565
401,401,20.642,36.949,0.517,14.647,27.996,0.565
402,402,20.639,36.829,0.518,14.618,27.963,0.565
403,403,20.636,36.712,0.518,14.59,27.932,0.565
404,404,20.633,36.598,0.519,14.563,27.903,0.565
405,405,20.63,36.489,0.519,14.537,27.875,0.565
406,406,20.627,36.383,0.519,14.511,27.849,0.566
407,407,20.624,36.28,0.519,14.487,27.825,0.566
408,408,20.621,36.182,0.52,14.463,27.803,0.566
409,409,20.618,36.087,0.52,14.439,27.783,0.566
410,410,20.615,35.995,0.52,14.417,27.764,0.566
411,411,20.612,35.908,0.52,14.395,27.747,0.566
412,412,20.609,35.824,0.519,14.374,27.732,0.566
413,413,20.606,35.744,0.519,14.354,27.718,0.566
414,414,20.603,35.667,0.519,14.335,27.707,0.566
415,415,20.599,35.594,0.519,14.317,27.697,0.565
416,416,20.596,35.525,0.518,14.299,27.689,0.565
417,417,20.593,35.459,0.518,14.283,27.682,0.565
418,418,20.59,35.398,0.517,14.267,27.678,0.565
419,419,20.586,35.34,0.517,14.252,27.675,0.565
420,420,20.583,35.285,0.516,14.237,27.674,0.565
421,421,20.58,35.235,0.515,14.224,27.675,0.564
422,422,20.576,35.188,0.515,14.212,27.677,0.564
423,423,20.573,35.145,0.514,14.2,27.681,0.564
424,424,20.569,35.106,0.513,14.189,27.687,0.563
425,425,20.566,35.07,0.512,14.179,27.695,0.563
426,426,20.562,35.039,0.511,14.17,27.704,0.563
427,427,20.559,35.011,0.51,14.162,27.715,0.562
428,428,20.555,34.987,0.508,14.155,27.728,0.562
429,429,20.552,34.967,0.507,14.149,27.743,0.561
430,430,20.548,34.95,0.506,14.143,27.759,0.561
431,431,20.545,34.938,0.504,14.139,27.777,0.56
432,432,20.541,34.929,0.503,14.135,27.797,0.56
433,433,20.538,34.925,0.501,14.133,27.819,0.559
434,434,20.534,34.924,0.5,14.131,27.842,0.559
435,435,20.53,34.927,0.498,14.13,27.867,0.558
436,436,20.527,34.934,0.496,14.131,27.894,0.557
437,437,20.523,34.945,0.494,14.132,27.922,0.557
438,438,20.52,34.96,0.493,14.134,27.952,0.556
439,439,20.516,34.978,0.491,14.137,27.984,0.555
440,440,20.512,35.001,0.489,14.141,28.017,0.555
441,441,20.509,35.028,0.487,14.146,28.052,0.554
442,442,20.505,35.059,0.484,14.152,28.089,0.553
443,443,20.502,35.093,0.482,14.159,28.127,0.552
444,444,20.498,35.132,0.48,14.167,28.167,0.552
445,445,20.495,35.175,0.478,14.176,28.209,0.551
446,446,20.491,35.222,0.475,14.187,28.253,0.55
447,447,20.487,35.272,0.473,14.198,28.298,0.549
448,448,20.484,35.327,0.47,14.21,28.344,0.548
449,449,20.48,35.386,0.468,14.223,28.392,0.547
450,450,20.477,35.449,0.465,14.237,28.442,0.546
451,451,20.473,35.516,0.462,14.252,28.494,0.545
452,452,20.47,35.587,0.46,14.269,28.547,0.544
453,453,20.466,35.662,0.457,14.286,28.601,0.543
454,454,20.463,35.742,0.454,14.304,28.657,0.542
455,455,20.459,35.825,0.451,14.324,28.715,0.541
456,456,20.456,35.912,0.448,14.345,28.774,0.54
457,457,20.453,36.004,0.445,14.366,28.835,0.539
458,458,20.449,36.1,0.442,14.389,28.897,0.538
459,459,20.436,35.628,0.442,14.26,28.854,0.538
460,460,20.423,35.146,0.442,14.129,28.809,0.539
461,461,20.41,34.659,0.442,13.996,28.765,0.539
462,462,20.396,34.167,0.441,13.862,28.72,0.539
463,463,20.382,33.669,0.441,13.727,28.674,0.54
464,464,20.369,33.165,0.441,13.59,28.629,0.54
465,465,20.357,32.808,0.441,13.488,28.596,0.541
466,466,20.349,32.777,0.441,13.464,28.591,0.541
467,467,20.341,32.745,0.441,13.44,28.587,0.54
468,468,20.333,32.713,0.441,13.416,28.583,0.54
469,469,20.325,32.68,0.44,13.392,28.579,0.54
470,470,20.317,32.646,0.44,13.367,28.575,0.54
471,471,20.309,32.612,0.44,13.343,28.571,0.54
472,472,20.301,32.578,0.44,13.318,28.567,0.54
473,473,20.292,32.543,0.44,13.293,28.564,0.54
474,474,20.284,32.508,0.44,13.268,28.56,0.54
475,475,20.276,32.472,0.44,13.242,28.556,0.539
476,476,20.268,32.436,0.439,13.217,28.553,0.539
477,477,20.259,32.399,0.439,13.191,28.549,0.539
478,478,20.251,32.362,0.439,13.166,28.546,0.539
479,479,20.243,32.325,0.439,13.14,28.543,0.539
480,480,20.234,32.287,0.439,13.114,28.539,0.539
481,481,20.226,32.249,0.439,13.088,28.536,0.539
482,482,20.217,32.21,0.438,13.062,28.533,0.538
483,483,20.209,32.171,0.438,13.036,28.53,0.538
484,484,20.2,32.132,0.438,13.01,28.527,0.538
485,485,20.192,32.092,0.438,12.984,28.524,0.538
486,486,20.183,32.053,0.438,12.958,28.52,0.538
487,487,20.175,32.013,0.438,12.932,28.517,0.538
488,488,20.166,31.972,0.437,12.906,28.514,0.537
489,489,20.157,31.932,0.437,12.88,28.511,0.537
490,490,20.149,31.891,0.437,12.854,28.508,0.537
491,491,20.14,31.85,0.437,12.828,28.505,0.537
492,492,20.132,31.809,0.437,12.802,28.502,0.537
493,493,20.123,31.767,0.437,12.777,28.499,0.537
494,494,20.115,31.726,0.436,12.751,28.496,0.537
495,495,20.106,31.684,0.436,12.726,28.493,0.536
