id_stratigraphie,id_anneau,id_formation,z_base,z_toit,epaisseur
166,24,C,19.63,24.36,4.74
167,24,A,8.5,19.63,11.13
168,24,K,5.5,8.5,3.0
169,25,R,49.27,53.05,3.79
170,25,L,47.9,49.27,1.37
171,25,S,37.12,47.9,10.78
172,25,M,24.43,37.12,12.7
173,25,C,19.72,24.43,4.7
174,25,A,8.6,19.72,11.12
175,25,K,5.6,8.6,3.0
176,26,R,49.27,53.04,3.78
177,26,L,47.9,49.27,1.36
178,26,S,37.15,47.9,10.75
179,26,M,24.49,37.15,12.66
180,26,C,19.82,24.49,4.67
181,26,A,8.7,19.82,11.12
182,26,K,5.7,8.7,3.0
183,27,R,49.26,53.04,3.77
184,27,L,47.91,49.26,1.36
185,27,S,37.18,47.91,10.73
186,27,M,24.55,37.18,12.63
187,27,C,19.91,24.55,4.64
188,27,A,8.8,19.91,11.11
189,27,K,5.8,8.8,3.0
190,28,R,49.26,53.03,3.76
191,28,L,47.91,49.26,1.35
192,28,S,37.2,47.91,10.71
193,28,M,24.61,37.2,12.59
194,28,C,20.01,24.61,4.6
195,28,A,8.9,20.01,11.11
196,28,K,5.9,8.9,3.0
197,29,R,49.26,53.02,3.76
198,29,L,47.92,49.26,1.34
199,29,S,37.23,47.92,10.69
200,29,M,24.67,37.23,12.55
201,29,C,20.1,24.67,4.57
202,29,A,9.0,20.1,11.1
203,29,K,6.0,9.0,3.0
204,30,R,49.26,53.01,3.75
205,30,L,47.92,49.26,1.34
206,30,S,37.25,47.92,10.67
207,30,M,24.73,37.25,12.52
208,30,C,20.2,24.73,4.53
209,30,A,9.11,20.2,11.09
210,30,K,6.11,9.11,3.0
211,31,R,49.25,53.0,3.74
212,31,L,47.92,49.25,1.33
213,31,S,37.27,47.92,10.65
214,31,M,24.79,37.27,12.49
215,31,C,20.29,24.79,4.5
216,31,A,9.21,20.29,11.08
217,31,K,6.21,9.21,3.0
218,32,R,49.25,52.99,3.73
219,32,L,47.93,49.25,1.33
220,32,S,37.3,47.93,10.63
221,32,M,24.84,37.3,12.45
222,32,C,20.38,24.84,4.46
223,32,A,9.31,20.38,11.08
224,32,K,6.31,9.31,3.0
225,33,R,49.25,52.97,3.73
226,33,L,47.93,49.25,1.32
227,33,S,37.32,47.93,10.61
228,33,M,24.9,37.32,12.42
229,33,C,20.47,24.9,4.43
230,33,A,9.41,20.47,11.07
231,33,K,6.41,9.41,3.0
232,34,R,49.24,52.96,3.72
233,34,L,47.93,49.24,1.31
234,34,S,37.34,47.93,10.59
235,34,M,24.96,37.34,12.38
236,34,C,20.57,24.96,4.39
237,34,A,9.5,20.57,11.06
238,34,K,6.5,9.5,3.0
239,35,R,49.24,52.95,3.71
240,35,L,47.93,49.24,1.31
241,35,S,37.36,47.93,10.57
242,35,M,25.01,37.36,12.35
243,35,C,20.66,25.01,4.36
244,35,A,9.6,20.66,11.05
245,35,K,6.6,9.6,3.0
246,36,R,49.24,52.94,3.7
247,36,L,47.93,49.24,1.3
248,36,S,37.38,47.93,10.55
249,36,M,25.07,37.38,12.31
250,36,C,20.75,25.07,4.32
251,36,A,9.7,20.75,11.04
252,36,K,6.7,9.7,3.0
253,37,R,49.23,52.93,3.7
254,37,L,47.93,49.23,1.3
255,37,S,37.4,47.93,10.53
256,37,M,25.12,37.4,12.28
257,37,C,20.83,25.12,4.29
258,37,A,9.8,20.83,11.03
259,37,K,6.8,9.8,3.0
260,38,R,49.22,52.91,3.69
261,38,L,47.93,49.22,1.29
262,38,S,37.42,47.93,10.51
263,38,M,25.17,37.42,12.25
264,38,C,20.92,25.17,4.25
265,38,A,9.9,20.92,11.03
266,38,K,6.9,9.9,3.0
267,39,R,49.22,52.9,3.68
268,39,L,47.93,49.22,1.29
269,39,S,37.44,47.93,10.49
270,39,M,25.22,37.44,12.21
271,39,C,21.01,25.22,4.21
272,39,A,9.99,21.01,11.02
273,39,K,6.99,9.99,3.0
274,40,R,49.21,52.89,3.67
275,40,L,47.93,49.21,1.28
276,40,S,37.45,47.93,10.48
277,40,M,25.27,37.45,12.18
278,40,C,21.1,25.27,4.18
279,40,A,10.09,21.1,11.01
280,40,K,7.09,10.09,3.0
281,41,R,49.21,52.87,3.66
282,41,L,47.93,49.21,1.28
283,41,S,37.47,47.93,10.46
284,41,M,25.32,37.47,12.15
285,41,C,21.18,25.32,4.14
286,41,A,10.18,21.18,11.0
287,41,K,7.18,10.18,3.0
288,42,R,49.2,52.86,3.66
289,42,L,47.93,49.2,1.27
290,42,S,37.49,47.93,10.44
291,42,M,25.37,37.49,12.12
292,42,C,21.27,25.37,4.11
293,42,A,10.28,21.27,10.99
294,42,K,7.28,10.28,3.0
295,43,R,49.19,52.84,3.65
296,43,L,47.92,49.19,1.27
297,43,S,37.5,47.92,10.42
298,43,M,25.42,37.5,12.08
299,43,C,21.35,25.42,4.07
300,43,A,10.37,21.35,10.98
301,43,K,7.37,10.37,3.0
302,44,R,49.19,52.82,3.64
303,44,L,47.92,49.19,1.26
304,44,S,37.52,47.92,10.4
305,44,M,25.46,37.52,12.05
306,44,C,21.43,25.46,4.03
307,44,A,10.47,21.43,10.97
308,44,K,7.47,10.47,3.0
309,45,R,49.18,52.81,3.63
310,45,L,47.92,49.18,1.26
311,45,S,37.53,47.92,10.39
312,45,M,25.51,37.53,12.02
313,45,C,21.51,25.51,4.0
314,45,A,10.56,21.51,10.96
315,45,K,7.56,10.56,3.0
316,46,R,49.17,52.79,3.62
317,46,L,47.91,49.17,1.26
318,46,S,37.54,47.91,10.37
319,46,M,25.55,37.54,11.99
320,46,C,21.59,25.55,3.96
321,46,A,10.65,21.59,10.94
322,46,K,7.65,10.65,3.0
323,47,R,49.16,52.78,3.61
324,47,L,47.91,49.16,1.25
325,47,S,37.56,47.91,10.35
326,47,M,25.6,37.56,11.96
327,47,C,21.67,25.6,3.93
328,47,A,10.74,21.67,10.93
329,47,K,7.74,10.74,3.0
330,48,R,49.15,52.76,3.61
331,48,L,47.9,49.15,1.25
332,48,S,37.57,47.9,10.34
333,48,M,25.64,37.57,11.93
334,48,C,21.75,25.64,3.89
335,48,A,10.83,21.75,10.92
336,48,K,7.83,10.83,3.0
337,49,R,49.14,52.74,3.6
338,49,L,47.9,49.14,1.24
339,49,S,37.58,47.9,10.32
340,49,M,25.68,37.58,11.9
341,49,C,21.83,25.68,3.85
342,49,A,10.92,21.83,10.91
343,49,K,7.92,10.92,3.0
344,50,R,49.13,52.72,3.59
345,50,L,47.89,49.13,1.24
346,50,S,37.59,47.89,10.3
347,50,M,25.72,37.59,11.87
348,50,C,21.91,25.72,3.82
349,50,A,11.0,21.91,10.9
350,50,K,8.0,11.0,3.0
351,51,R,49.12,52.7,3.58
352,51,L,47.89,49.12,1.24
353,51,S,37.6,47.89,10.29
354,51,M,25.76,37.6,11.84
355,51,C,21.98,25.76,3.78
356,51,A,11.09,21.98,10.89
357,51,K,8.09,11.09,3.0
358,52,R,49.11,52.69,3.57
359,52,L,47.88,49.11,1.23
360,52,S,37.61,47.88,10.27
361,52,M,25.8,37.61,11.81
362,52,C,22.05,25.8,3.74
363,52,A,11.18,22.05,10.88
364,52,K,8.18,11.18,3.0
365,53,R,49.1,52.67,3.56
366,53,L,47.87,49.1,1.23
367,53,S,37.62,47.87,10.26
368,53,M,25.84,37.62,11.78
369,53,C,22.13,25.84,3.71
370,53,A,11.26,22.13,10.87
371,53,K,8.26,11.26,3.0
372,54,R,49.09,52.65,3.56
373,54,L,47.86,49.09,1.23
374,54,S,37.62,47.86,10.24
375,54,M,25.87,37.62,11.75
376,54,C,22.2,25.87,3.67
377,54,A,11.34,22.2,10.85
378,54,K,8.34,11.34,3.0
379,55,R,49.08,52.63,3.55
380,55,L,47.86,49.08,1.22
381,55,S,37.63,47.86,10.23
382,55,M,25.91,37.63,11.72
383,55,C,22.27,25.91,3.64
384,55,A,11.43,22.27,10.84
385,55,K,8.43,11.43,3.0
386,56,R,49.07,52.61,3.54
387,56,L,47.85,49.07,1.22
388,56,S,37.64,47.85,10.21
389,56,M,25.94,37.64,11.69
390,56,C,22.34,25.94,3.6
391,56,A,11.51,22.34,10.83
392,56,K,8.51,11.51,3.0
393,57,R,49.06,52.59,3.53
394,57,L,47.84,49.06,1.22
395,57,S,37.64,47.84,10.2
396,57,M,25.97,37.64,11.67
397,57,C,22.41,25.97,3.57
398,57,A,11.59,22.41,10.82
399,57,K,8.59,11.59,3.0
400,58,R,49.04,52.57,3.52
401,58,L,47.83,49.04,1.22
402,58,S,37.64,47.83,10.18
403,58,M,26.0,37.64,11.64
404,58,C,22.47,26.0,3.53
405,58,A,11.66,22.47,10.81
406,58,K,8.66,11.66,3.0
407,59,R,49.03,52.55,3.51
408,59,L,47.82,49.03,1.21
409,59,S,37.65,47.82,10.17
410,59,M,26.03,37.65,11.61
411,59,C,22.54,26.03,3.5
412,59,A,11.74,22.54,10.8
413,59,K,8.74,11.74,3.0
414,60,R,49.02,52.52,3.51
415,60,L,47.81,49.02,1.21
416,60,S,37.65,47.81,10.16
417,60,M,26.06,37.65,11.59
418,60,C,22.6,26.06,3.46
419,60,A,11.82,22.6,10.78
420,60,K,8.82,11.82,3.0
421,61,R,49.01,52.5,3.5
422,61,L,47.8,49.01,1.21
423,61,S,37.65,47.8,10.14
424,61,M,26.09,37.65,11.56
425,61,C,22.66,26.09,3.43
426,61,A,11.89,22.66,10.77
427,61,K,8.89,11.89,3.0
428,62,R,48.99,52.48,3.49
429,62,L,47.78,48.99,1.21
430,62,S,37.65,47.78,10.13
431,62,M,26.12,37.65,11.53
432,62,C,22.73,26.12,3.39
433,62,A,11.97,22.73,10.76
434,62,K,8.97,11.97,3.0
435,63,R,48.98,52.46,3.48
436,63,L,47.77,48.98,1.21
437,63,S,37.65,47.77,10.12
438,63,M,26.14,37.65,11.51
439,63,C,22.79,26.14,3.36
440,63,A,12.04,22.79,10.75
441,63,K,9.04,12.04,3.0
442,64,R,48.96,52.44,3.47
443,64,L,47.76,48.96,1.21
444,64,S,37.65,47.76,10.11
445,64,M,26.17,37.65,11.48
446,64,C,22.84,26.17,3.32
447,64,A,12.11,22.84,10.74
448,64,K,9.11,12.11,3.0
449,65,R,48.95,52.41,3.46
450,65,L,47.75,48.95,1.2
451,65,S,37.65,47.75,10.1
452,65,M,26.19,37.65,11.46
453,65,C,22.9,26.19,3.29
454,65,A,12.18,22.9,10.72
455,65,K,9.18,12.18,3.0
456,66,R,48.94,52.39,3.46
457,66,L,47.73,48.94,1.2
458,66,S,37.65,47.73,10.08
459,66,M,26.21,37.65,11.44
460,66,C,22.96,26.21,3.25
461,66,A,12.24,22.96,10.71
462,66,K,9.24,12.24,3.0
463,67,R,48.92,52.37,3.45
464,67,L,47.72,48.92,1.2
465,67,S,37.64,47.72,10.07
466,67,M,26.23,37.64,11.41
467,67,C,23.01,26.23,3.22
468,67,A,12.31,23.01,10.7
469,67,K,9.31,12.31,3.0
470,68,R,48.9,52.34,3.44
471,68,L,47.7,48.9,1.2
472,68,S,37.64,47.7,10.06
473,68,M,26.25,37.64,11.39
474,68,C,23.06,26.25,3.19
475,68,A,12.38,23.06,10.69
476,68,K,9.38,12.38,3.0
477,69,R,48.89,52.32,3.43
478,69,L,47.69,48.89,1.2
479,69,S,37.63,47.69,10.05
480,69,M,26.27,37.63,11.37
481,69,C,23.12,26.27,3.15
482,69,A,12.44,23.12,10.68
483,69,K,9.44,12.44,3.0
484,70,R,48.87,52.3,3.42
485,70,L,47.67,48.87,1.2
486,70,S,37.63,47.67,10.04
487,70,M,26.29,37.63,11.34
488,70,C,23.17,26.29,3.12
489,70,A,12.5,23.17,10.67
490,70,K,9.5,12.5,3.0
491,71,R,48.86,52.27,3.41
492,71,L,47.66,48.86,1.2
493,71,S,37.62,47.66,10.03
494,71,M,26.3,37.62,11.32
495,71,C,23.21,26.3,3.09
496,71,A,12.56,23.21,10.65
497,71,K,9.56,12.56,3.0
498,72,R,48.84,52.25,3.41
499,72,L,47.64,48.84,1.2
500,72,S,37.62,47.64,10.02
501,72,M,26.32,37.62,11.3
502,72,C,23.26,26.32,3.06
503,72,A,12.62,23.26,10.64
504,72,K,9.62,12.62,3.0
505,73,R,48.82,52.22,3.4
506,73,L,47.62,48.82,1.2
507,73,S,37.61,47.62,10.01
508,73,M,26.33,37.61,11.28
509,73,C,23.31,26.33,3.02
510,73,A,12.68,23.31,10.63
511,73,K,9.68,12.68,3.0
512,74,R,48.81,52.2,3.39
513,74,L,47.6,48.81,1.2
514,74,S,37.6,47.6,10.0
515,74,M,26.34,37.6,11.26
516,74,C,23.35,26.34,2.99
517,74,A,12.73,23.35,10.62
518,74,K,9.73,12.73,3.0
519,75,R,48.79,52.17,3.38
520,75,L,47.59,48.79,1.2
521,75,S,37.59,47.59,10.0
522,75,M,26.35,37.59,11.24
523,75,C,23.39,26.35,2.96
524,75,A,12.78,23.39,10.61
525,75,K,9.78,12.78,3.0
526,76,R,48.77,52.15,3.38
527,76,L,47.57,48.77,1.21
528,76,S,37.58,47.57,9.99
529,76,M,26.36,37.58,11.22
530,76,C,23.43,26.36,2.93
531,76,A,12.84,23.43,10.6
532,76,K,9.84,12.84,3.0
533,77,R,48.75,52.12,3.37
534,77,L,47.55,48.75,1.21
535,77,S,37.57,47.55,9.98
536,77,M,26.37,37.57,11.2
537,77,C,23.47,26.37,2.9
538,77,A,12.89,23.47,10.59
539,77,K,9.89,12.89,3.0
540,78,R,48.74,52.1,3.36
541,78,L,47.53,48.74,1.21
542,78,S,37.56,47.53,9.97
543,78,M,26.38,37.56,11.18
544,78,C,23.51,26.38,2.87
545,78,A,12.94,23.51,10.58
546,78,K,9.94,12.94,3.0
547,79,R,48.72,52.07,3.35
548,79,L,47.51,48.72,1.21
549,79,S,37.54,47.51,9.97
550,79,M,26.38,37.54,11.16
551,79,C,23.55,26.38,2.84
552,79,A,12.98,23.55,10.57
553,79,K,9.98,12.98,3.0
554,80,R,48.7,52.05,3.35
555,80,L,47.49,48.7,1.21
556,80,S,37.53,47.49,9.96
557,80,M,26.39,37.53,11.14
558,80,C,23.58,26.39,2.81
559,80,A,13.03,23.58,10.56
560,80,K,10.03,13.03,3.0
561,81,R,48.68,52.02,3.34
562,81,L,47.47,48.68,1.21
563,81,S,37.51,47.47,9.95
564,81,M,26.39,37.51,11.12
565,81,C,23.62,26.39,2.78
566,81,A,13.07,23.62,10.54
567,81,K,10.07,13.07,3.0
568,82,R,48.66,51.99,3.33
569,82,L,47.45,48.66,1.22
570,82,S,37.5,47.45,9.95
571,82,M,26.4,37.5,11.1
572,82,C,23.65,26.4,2.75
573,82,A,13.11,23.65,10.53
574,82,K,10.11,13.11,3.0
575,83,R,48.64,51.97,3.32
576,83,L,47.42,48.64,1.22
577,83,S,37.48,47.42,9.94
578,83,M,26.4,37.48,11.09
579,83,C,23.68,26.4,2.72
580,83,A,13.15,23.68,10.52
581,83,K,10.15,13.15,3.0
582,84,R,48.62,51.94,3.32
583,84,L,47.4,48.62,1.22
584,84,S,37.47,47.4,9.93
585,84,M,26.4,37.47,11.07
586,84,C,23.71,26.4,2.69
587,84,A,13.19,23.71,10.52
588,84,K,10.19,13.19,3.0
589,85,R,48.6,51.91,3.31
590,85,L,47.38,48.6,1.23
591,85,S,37.45,47.38,9.93
592,85,M,26.4,37.45,11.05
593,85,C,23.73,26.4,2.66
594,85,A,13.23,23.73,10.51
595,85,K,10.23,13.23,3.0
596,86,R,48.59,51.89,3.3
597,86,L,47.36,48.59,1.23
598,86,S,37.43,47.36,9.92
599,86,M,26.39,37.43,11.04
600,86,C,23.76,26.39,2.64
601,86,A,13.26,23.76,10.5
602,86,K,10.26,13.26,3.0
603,87,R,48.57,51.86,3.3
604,87,L,47.33,48.57,1.23
605,87,S,37.41,47.33,9.92
606,87,M,26.39,37.41,11.02
607,87,C,23.78,26.39,2.61
608,87,A,13.29,23.78,10.49
609,87,K,10.29,13.29,3.0
610,88,R,48.55,51.83,3.29
611,88,L,47.31,48.55,1.24
612,88,S,37.39,47.31,9.91
613,88,M,26.39,37.39,11.01
614,88,C,23.8,26.39,2.58
615,88,A,13.33,23.8,10.48
616,88,K,10.33,13.33,3.0
617,89,R,48.53,51.81,3.28
618,89,L,47.28,48.53,1.24
619,89,S,37.37,47.28,9.91
620,89,M,26.38,37.37,10.99
621,89,C,23.82,26.38,2.56
622,89,A,13.35,23.82,10.47
623,89,K,10.35,13.35,3.0
624,90,R,48.5,51.78,3.28
625,90,L,47.26,48.5,1.25
626,90,S,37.35,47.26,9.91
627,90,M,26.37,37.35,10.98
628,90,C,23.84,26.37,2.53
629,90,A,13.38,23.84,10.46
630,90,K,10.38,13.38,3.0
631,91,R,48.48,51.75,3.27
632,91,L,47.23,48.48,1.25
633,91,S,37.33,47.23,9.9
634,91,M,26.37,37.33,10.96
635,91,C,23.86,26.37,2.51
636,91,A,13.41,23.86,10.45
637,91,K,10.41,13.41,3.0
638,92,R,48.46,51.73,3.26
639,92,L,47.21,48.46,1.26
640,92,S,37.31,47.21,9.9
641,92,M,26.36,37.31,10.95
642,92,C,23.88,26.36,2.48
643,92,A,13.43,23.88,10.45
644,92,K,10.43,13.43,3.0
645,93,R,48.44,51.7,3.26
646,93,L,47.18,48.44,1.26
647,93,S,37.29,47.18,9.9
648,93,M,26.35,37.29,10.94
649,93,C,23.89,26.35,2.46
650,93,A,13.45,23.89,10.44
651,93,K,10.45,13.45,3.0
652,94,R,48.42,51.67,3.25
653,94,L,47.16,48.42,1.27
654,94,S,37.26,47.16,9.89
655,94,M,26.34,37.26,10.93
656,94,C,23.9,26.34,2.43
657,94,A,13.47,23.9,10.43
658,94,K,10.47,13.47,3.0
659,95,R,48.4,51.65,3.25
660,95,L,47.13,48.4,1.27
661,95,S,37.24,47.13,9.89
662,95,M,26.33,37.24,10.91
663,95,C,23.91,26.33,2.41
664,95,A,13.49,23.91,10.42
665,95,K,10.49,13.49,3.0
666,96,R,48.38,51.62,3.24
667,96,L,47.1,48.38,1.28
668,96,S,37.21,47.1,9.89
669,96,M,26.31,37.21,10.9
670,96,C,23.92,26.31,2.39
671,96,A,13.51,23.92,10.42
672,96,K,10.51,13.51,3.0
673,97,R,48.36,51.59,3.24
674,97,L,47.08,48.36,1.28
675,97,S,37.19,47.08,9.89
676,97,M,26.3,37.19,10.89
677,97,C,23.93,26.3,2.37
678,97,A,13.52,23.93,10.41
679,97,K,10.52,13.52,3.0
680,98,R,48.34,51.57,3.23
681,98,L,47.05,48.34,1.29
682,98,S,37.16,47.05,9.89
683,98,M,26.28,37.16,10.88
684,98,C,23.94,26.28,2.34
685,98,A,13.53,23.94,10.4
686,98,K,10.53,13.53,3.0
687,99,R,48.32,51.54,3.22
688,99,L,47.02,48.32,1.3
689,99,S,37.14,47.02,9.88
690,99,M,26.27,37.14,10.87
691,99,C,23.94,26.27,2.32
692,99,A,13.55,23.94,10.4
693,99,K,10.55,13.55,3.0
694,100,R,48.29,51.51,3.22
695,100,L,46.99,48.29,1.3
696,100,S,37.11,46.99,9.88
697,100,M,26.25,37.11,10.86
698,100,C,23.95,26.25,2.3
699,100,A,13.55,23.95,10.39
700,100,K,10.55,13.55,3.0
701,101,R,48.27,51.49,3.21
702,101,L,46.96,48.27,1.31
703,101,S,37.08,46.96,9.88
704,101,M,26.23,37.08,10.85
705,101,C,23.95,26.23,2.28
706,101,A,13.56,23.95,10.39
707,101,K,10.56,13.56,3.0
708,102,R,48.25,51.46,3.21
709,102,L,46.93,48.25,1.32
710,102,S,37.05,46.93,9.88
711,102,M,26.21,37.05,10.84
712,102,C,23.95,26.21,2.26
713,102,A,13.57,23.95,10.38
714,102,K,10.57,13.57,3.0
715,103,R,48.23,51.43,3.2
716,103,L,46.9,48.23,1.32
717,103,S,37.02,46.9,9.88
718,103,M,26.19,37.02,10.83
719,103,C,23.95,26.19,2.24
720,103,A,13.57,23.95,10.38
721,103,K,10.57,13.57,3.0
722,104,R,48.21,51.41,3.2
723,104,L,46.88,48.21,1.33
724,104,S,36.99,46.88,9.88
725,104,M,26.17,36.99,10.82
726,104,C,23.95,26.17,2.22
727,104,A,13.57,23.95,10.37
728,104,K,10.57,13.57,3.0
729,105,R,48.19,51.38,3.2
730,105,L,46.85,48.19,1.34
731,105,S,36.96,46.85,9.88
732,105,M,26.15,36.96,10.81
733,105,C,23.94,26.15,2.21
734,105,A,13.57,23.94,10.37
735,105,K,10.57,13.57,3.0
736,106,R,48.16,51.36,3.19
737,106,L,46.82,48.16,1.35
738,106,S,36.93,46.82,9.88
739,106,M,26.12,36.93,10.81
740,106,C,23.94,26.12,2.19
741,106,A,13.57,23.94,10.37
742,106,K,10.55,13.57,3.02
743,107,R,48.14,51.33,3.19
744,107,L,46.79,48.14,1.36
745,107,S,36.9,46.79,9.89
746,107,M,26.1,36.9,10.8
747,107,C,23.93,26.1,2.17
748,107,A,13.57,23.93,10.36
749,107,K,10.5,13.57,3.07
750,108,R,48.12,51.3,3.18
751,108,L,46.76,48.12,1.36
752,108,S,36.87,46.76,9.89
753,108,M,26.08,36.87,10.79
754,108,C,23.92,26.08,2.16
755,108,A,13.56,23.92,10.36
756,108,K,10.45,13.56,3.11
757,109,R,48.1,51.28,3.18
758,109,L,46.72,48.1,1.37
759,109,S,36.84,46.72,9.89
760,109,M,26.05,36.84,10.79
761,109,C,23.91,26.05,2.14
762,109,A,13.55,23.91,10.36
763,109,K,10.41,13.55,3.15
764,110,R,48.08,51.25,3.18
765,110,L,46.69,48.08,1.38
766,110,S,36.8,46.69,9.89
767,110,M,26.02,36.8,10.78
768,110,C,23.9,26.02,2.13
769,110,A,13.54,23.9,10.36
770,110,K,10.36,13.54,3.18
771,111,R,48.05,51.23,3.17
772,111,L,46.66,48.05,1.39
773,111,S,36.77,46.66,9.89
